demographics_key,sex,age_group,education_level,annual_income,race_ethnicity
725,Female,45-49,College graduate or higher,"$200,000 or more",White only (non-Hispanic)
726,Male,55-59,College graduate or higher,"$75,000 to < $100,000",Asian (non-Hispanic)
727,Male,45-49,High school graduate,"$50,000 to <$75,000",White only (non-Hispanic)
728,Male,45-49,Some college or technical school,"$20,000 to <$25,000",Black only (non-Hispanic)
729,Male,70-74,High school graduate,"$20,000 to <$25,000",White only (non-Hispanic)
730,Male,80+,High school graduate,"$50,000 to <$75,000",White only (non-Hispanic)
731,Female,25-29,Some college or technical school,,White only (non-Hispanic)
732,Male,40-44,Some high school,,American Indian/Alaska Native (non-Hispanic)
733,Female,30-34,High school graduate,,Black only (non-Hispanic)
734,Female,45-49,High school graduate,"$35,000 to <$50,000",White only (non-Hispanic)
735,Female,25-29,Some college or technical school,"$75,000 to < $100,000",White only (non-Hispanic)
736,Male,65-69,Some college or technical school,"$150,000 to < $200,000",White only (non-Hispanic)
737,Male,25-29,High school graduate,"$75,000 to < $100,000",White only (non-Hispanic)
738,Female,70-74,College graduate or higher,"$35,000 to <$50,000",Multiracial (non-Hispanic)
739,Female,80+,Some high school,"$15,000 to <$20,000",White only (non-Hispanic)
740,Male,60-64,Some high school,"$200,000 or more",Black only (non-Hispanic)
741,Female,40-44,High school graduate,,Black only (non-Hispanic)
742,Female,40-44,Some college or technical school,"$100,000 to < $150,000",Black only (non-Hispanic)
743,Male,65-69,High school graduate,,Black only (non-Hispanic)
744,Male,55-59,High school graduate,"$50,000 to <$75,000",White only (non-Hispanic)
745,Female,30-34,College graduate or higher,"$200,000 or more",White only (non-Hispanic)
746,Male,60-64,College graduate or higher,,Black only (non-Hispanic)
747,Female,60-64,High school graduate,"$10,000 to <$15,000",Black only (non-Hispanic)
748,Male,65-69,High school graduate,"$25,000 to <$35,000",White only (non-Hispanic)
749,Male,65-69,College graduate or higher,"$25,000 to <$35,000",Black only (non-Hispanic)
750,Male,65-69,Some college or technical school,"$25,000 to <$35,000",Black only (non-Hispanic)
751,Male,40-44,High school graduate,"$75,000 to < $100,000",White only (non-Hispanic)
752,Female,30-34,College graduate or higher,,White only (non-Hispanic)
753,Male,18-24,High school graduate,"$20,000 to <$25,000",Black only (non-Hispanic)
754,Male,45-49,High school graduate,"$75,000 to < $100,000",Black only (non-Hispanic)
755,Female,40-44,Some college or technical school,"$50,000 to <$75,000",Black only (non-Hispanic)
756,Male,40-44,Elementary,"$200,000 or more",
757,Female,30-34,High school graduate,"$35,000 to <$50,000",Black only (non-Hispanic)
758,Female,25-29,College graduate or higher,,White only (non-Hispanic)
759,Female,18-24,College graduate or higher,"$35,000 to <$50,000",Black only (non-Hispanic)
760,Female,30-34,Some high school,"$15,000 to <$20,000",White only (non-Hispanic)
761,Male,55-59,Some college or technical school,"$100,000 to < $150,000",White only (non-Hispanic)
762,Male,50-54,College graduate or higher,"$75,000 to < $100,000",White only (non-Hispanic)
763,Female,18-24,High school graduate,"$35,000 to <$50,000",Black only (non-Hispanic)
764,Female,45-49,Some college or technical school,,Black only (non-Hispanic)
765,Female,35-39,College graduate or higher,"$150,000 to < $200,000",White only (non-Hispanic)
766,Male,50-54,Some college or technical school,"$25,000 to <$35,000",White only (non-Hispanic)
767,Male,30-34,High school graduate,"$35,000 to <$50,000",White only (non-Hispanic)
768,Male,30-34,High school graduate,"$35,000 to <$50,000",Black only (non-Hispanic)
769,Female,60-64,College graduate or higher,"$35,000 to <$50,000",White only (non-Hispanic)
770,Female,50-54,College graduate or higher,"$35,000 to <$50,000",Black only (non-Hispanic)
771,Male,35-39,Some college or technical school,"$25,000 to <$35,000",White only (non-Hispanic)
772,Male,70-74,Some high school,"$20,000 to <$25,000",Black only (non-Hispanic)
773,Female,45-49,High school graduate,"$20,000 to <$25,000",Black only (non-Hispanic)
774,Female,25-29,Some college or technical school,"$50,000 to <$75,000",Black only (non-Hispanic)
775,Male,35-39,College graduate or higher,"$200,000 or more",White only (non-Hispanic)
776,Male,30-34,Some college or technical school,"$25,000 to <$35,000",Black only (non-Hispanic)
777,Female,50-54,College graduate or higher,,Black only (non-Hispanic)
778,Male,40-44,Some college or technical school,"$35,000 to <$50,000",Black only (non-Hispanic)
779,Male,60-64,Some college or technical school,,Black only (non-Hispanic)
780,Female,30-34,College graduate or higher,"$150,000 to < $200,000",Hispanic
781,Male,60-64,Some college or technical school,"$75,000 to < $100,000",Black only (non-Hispanic)
782,Male,35-39,High school graduate,"$25,000 to <$35,000",White only (non-Hispanic)
783,Male,45-49,Some college or technical school,"$25,000 to <$35,000",White only (non-Hispanic)
784,Female,35-39,College graduate or higher,"$100,000 to < $150,000",Hispanic
785,Female,60-64,Some college or technical school,"$50,000 to <$75,000",White only (non-Hispanic)
786,Male,50-54,High school graduate,"$35,000 to <$50,000",White only (non-Hispanic)
787,Male,65-69,Some college or technical school,"$75,000 to < $100,000",Black only (non-Hispanic)
788,Male,40-44,Some high school,"$50,000 to <$75,000",White only (non-Hispanic)
789,Male,50-54,Some college or technical school,"$50,000 to <$75,000",Black only (non-Hispanic)
790,Female,45-49,College graduate or higher,"$25,000 to <$35,000",Black only (non-Hispanic)
791,Male,75-79,High school graduate,"$25,000 to <$35,000",American Indian/Alaska Native (non-Hispanic)
792,Male,60-64,Some college or technical school,"$200,000 or more",White only (non-Hispanic)
793,Male,25-29,College graduate or higher,"$150,000 to < $200,000",White only (non-Hispanic)
794,Female,35-39,High school graduate,"Less than $10,000",Black only (non-Hispanic)
795,Male,65-69,Some college or technical school,"$15,000 to <$20,000",Multiracial (non-Hispanic)
796,Male,45-49,Some high school,,Black only (non-Hispanic)
797,Male,35-39,High school graduate,"$150,000 to < $200,000",White only (non-Hispanic)
798,Male,50-54,College graduate or higher,"$100,000 to < $150,000",White only (non-Hispanic)
799,Male,55-59,Some college or technical school,"$200,000 or more",White only (non-Hispanic)
800,Male,55-59,College graduate or higher,"$25,000 to <$35,000",Black only (non-Hispanic)
801,Female,55-59,Some college or technical school,"$150,000 to < $200,000",White only (non-Hispanic)
802,Female,45-49,Some college or technical school,"$25,000 to <$35,000",White only (non-Hispanic)
803,Male,55-59,High school graduate,"$35,000 to <$50,000",White only (non-Hispanic)
804,Female,,College graduate or higher,"$100,000 to < $150,000",White only (non-Hispanic)
805,Female,55-59,College graduate or higher,"$100,000 to < $150,000",Black only (non-Hispanic)
806,Female,35-39,Some college or technical school,"$20,000 to <$25,000",White only (non-Hispanic)
807,Male,45-49,High school graduate,"Less than $10,000",Black only (non-Hispanic)
808,Female,65-69,Some high school,"Less than $10,000",Black only (non-Hispanic)
809,Male,25-29,College graduate or higher,"$50,000 to <$75,000",White only (non-Hispanic)
810,Female,30-34,Some college or technical school,"$35,000 to <$50,000",White only (non-Hispanic)
811,Male,35-39,Some college or technical school,"$75,000 to < $100,000",White only (non-Hispanic)
812,Male,70-74,Some college or technical school,,Black only (non-Hispanic)
813,Female,60-64,College graduate or higher,"$100,000 to < $150,000",Hispanic
814,Male,45-49,High school graduate,"$50,000 to <$75,000",Multiracial (non-Hispanic)
815,Female,25-29,High school graduate,"$15,000 to <$20,000",White only (non-Hispanic)
816,Male,80+,High school graduate,"$75,000 to < $100,000",White only (non-Hispanic)
817,Female,18-24,High school graduate,"$10,000 to <$15,000",Black only (non-Hispanic)
818,Male,50-54,College graduate or higher,"$100,000 to < $150,000",American Indian/Alaska Native (non-Hispanic)
819,Female,45-49,High school graduate,"$50,000 to <$75,000",Black only (non-Hispanic)
820,Male,25-29,High school graduate,"$35,000 to <$50,000",White only (non-Hispanic)
821,Male,40-44,High school graduate,,Black only (non-Hispanic)
822,Male,60-64,Some college or technical school,"$50,000 to <$75,000",White only (non-Hispanic)
823,Male,35-39,Elementary,"$25,000 to <$35,000",Hispanic
824,Female,18-24,College graduate or higher,,Black only (non-Hispanic)
825,Male,55-59,Some college or technical school,"$10,000 to <$15,000",White only (non-Hispanic)
826,Male,45-49,High school graduate,"$100,000 to < $150,000",White only (non-Hispanic)
827,Male,25-29,College graduate or higher,"$75,000 to < $100,000",Black only (non-Hispanic)
828,Male,30-34,Some college or technical school,"$150,000 to < $200,000",White only (non-Hispanic)
829,Male,45-49,Some high school,"$100,000 to < $150,000",White only (non-Hispanic)
830,Female,55-59,High school graduate,"$100,000 to < $150,000",White only (non-Hispanic)
831,Male,65-69,Some high school,"$15,000 to <$20,000",Black only (non-Hispanic)
832,Female,65-69,Some high school,,White only (non-Hispanic)
833,Male,50-54,Elementary,,White only (non-Hispanic)
834,Female,50-54,High school graduate,"$20,000 to <$25,000",Black only (non-Hispanic)
835,Male,65-69,Elementary,"$25,000 to <$35,000",White only (non-Hispanic)
836,Female,65-69,High school graduate,,
837,Male,65-69,Some college or technical school,"$10,000 to <$15,000",White only (non-Hispanic)
838,Male,40-44,Some college or technical school,"$35,000 to <$50,000",White only (non-Hispanic)
839,Male,40-44,High school graduate,,White only (non-Hispanic)
840,Male,35-39,High school graduate,"$35,000 to <$50,000",American Indian/Alaska Native (non-Hispanic)
841,Male,65-69,High school graduate,"$25,000 to <$35,000",American Indian/Alaska Native (non-Hispanic)
842,Female,45-49,High school graduate,"$15,000 to <$20,000",White only (non-Hispanic)
843,Male,70-74,Elementary,"$10,000 to <$15,000",Black only (non-Hispanic)
844,Male,50-54,Elementary,"$75,000 to < $100,000",White only (non-Hispanic)
845,Male,55-59,College graduate or higher,"$150,000 to < $200,000",Black only (non-Hispanic)
846,Male,65-69,College graduate or higher,"$100,000 to < $150,000",Multiracial (non-Hispanic)
847,Male,45-49,Some college or technical school,"$50,000 to <$75,000",White only (non-Hispanic)
848,Female,50-54,Some college or technical school,"$150,000 to < $200,000",Black only (non-Hispanic)
849,Female,75-79,College graduate or higher,"$35,000 to <$50,000",White only (non-Hispanic)
850,Male,18-24,Some college or technical school,"Less than $10,000",White only (non-Hispanic)
851,Female,18-24,Some high school,"Less than $10,000",Black only (non-Hispanic)
852,Female,18-24,Some college or technical school,,White only (non-Hispanic)
853,Male,70-74,College graduate or higher,"$25,000 to <$35,000",White only (non-Hispanic)
854,Female,55-59,High school graduate,"$35,000 to <$50,000",Black only (non-Hispanic)
855,Male,55-59,Some high school,"$25,000 to <$35,000",White only (non-Hispanic)
856,Male,70-74,College graduate or higher,"$150,000 to < $200,000",Black only (non-Hispanic)
857,Female,60-64,College graduate or higher,"$150,000 to < $200,000",White only (non-Hispanic)
858,Male,45-49,High school graduate,"$35,000 to <$50,000",Black only (non-Hispanic)
859,Male,18-24,Some college or technical school,"$35,000 to <$50,000",Black only (non-Hispanic)
860,Male,18-24,High school graduate,"$200,000 or more",White only (non-Hispanic)
861,Female,50-54,Some college or technical school,"$75,000 to < $100,000",White only (non-Hispanic)
862,Female,70-74,High school graduate,"$15,000 to <$20,000",Black only (non-Hispanic)
863,Male,65-69,High school graduate,"$50,000 to <$75,000",White only (non-Hispanic)
864,Female,50-54,College graduate or higher,"$50,000 to <$75,000",Other race (non-Hispanic)
865,Male,55-59,College graduate or higher,"$35,000 to <$50,000",American Indian/Alaska Native (non-Hispanic)
866,Male,55-59,High school graduate,"$25,000 to <$35,000",White only (non-Hispanic)
867,Male,45-49,College graduate or higher,"$100,000 to < $150,000",White only (non-Hispanic)
868,Male,55-59,High school graduate,"$75,000 to < $100,000",Black only (non-Hispanic)
869,Male,,College graduate or higher,,Black only (non-Hispanic)
870,Male,45-49,College graduate or higher,"$150,000 to < $200,000",White only (non-Hispanic)
871,Female,55-59,College graduate or higher,"$150,000 to < $200,000",
872,Male,35-39,High school graduate,"$10,000 to <$15,000",White only (non-Hispanic)
873,Male,30-34,Some college or technical school,"$75,000 to < $100,000",White only (non-Hispanic)
874,Female,18-24,Some high school,"$10,000 to <$15,000",White only (non-Hispanic)
875,Male,65-69,College graduate or higher,"$150,000 to < $200,000",Black only (non-Hispanic)
876,Female,40-44,Some college or technical school,"$100,000 to < $150,000",White only (non-Hispanic)
877,Female,40-44,High school graduate,"$150,000 to < $200,000",White only (non-Hispanic)
878,Female,45-49,High school graduate,"$75,000 to < $100,000",Multiracial (non-Hispanic)
879,Female,40-44,College graduate or higher,"$200,000 or more",Hispanic
880,Female,25-29,Some high school,"$75,000 to < $100,000",White only (non-Hispanic)
881,Female,55-59,College graduate or higher,"$50,000 to <$75,000",Multiracial (non-Hispanic)
882,Male,30-34,College graduate or higher,"$200,000 or more",White only (non-Hispanic)
883,Female,75-79,Some high school,"$15,000 to <$20,000",White only (non-Hispanic)
884,Female,45-49,Some college or technical school,"$10,000 to <$15,000",White only (non-Hispanic)
885,Male,35-39,Some college or technical school,"$35,000 to <$50,000",White only (non-Hispanic)
886,Male,55-59,Some high school,"$35,000 to <$50,000",White only (non-Hispanic)
887,Male,25-29,Some college or technical school,"$25,000 to <$35,000",White only (non-Hispanic)
888,Female,40-44,College graduate or higher,"$150,000 to < $200,000",White only (non-Hispanic)
889,Male,50-54,High school graduate,"$25,000 to <$35,000",Black only (non-Hispanic)
890,Male,18-24,High school graduate,"$100,000 to < $150,000",
891,Female,40-44,College graduate or higher,"$50,000 to <$75,000",Black only (non-Hispanic)
892,Male,60-64,High school graduate,"$35,000 to <$50,000",White only (non-Hispanic)
893,Male,65-69,Elementary,"$75,000 to < $100,000",White only (non-Hispanic)
894,Female,70-74,Elementary,"$35,000 to <$50,000",White only (non-Hispanic)
895,Male,55-59,Some high school,"$15,000 to <$20,000",White only (non-Hispanic)
896,Female,25-29,Some college or technical school,"Less than $10,000",Asian (non-Hispanic)
897,Female,25-29,High school graduate,"$15,000 to <$20,000",Black only (non-Hispanic)
898,Male,35-39,College graduate or higher,"$35,000 to <$50,000",White only (non-Hispanic)
899,Male,25-29,Some college or technical school,"$50,000 to <$75,000",White only (non-Hispanic)
900,Female,30-34,High school graduate,,White only (non-Hispanic)
901,Female,18-24,High school graduate,,White only (non-Hispanic)
902,Female,30-34,College graduate or higher,"$75,000 to < $100,000",White only (non-Hispanic)
903,Male,30-34,High school graduate,"$100,000 to < $150,000",Hispanic
904,Male,25-29,Some college or technical school,"Less than $10,000",White only (non-Hispanic)
905,Male,30-34,Some college or technical school,,White only (non-Hispanic)
906,Male,18-24,High school graduate,"$50,000 to <$75,000",Black only (non-Hispanic)
907,Male,50-54,College graduate or higher,,Hispanic
908,Female,25-29,Never attended school,"$25,000 to <$35,000",Hispanic
909,Female,30-34,High school graduate,"$10,000 to <$15,000",Black only (non-Hispanic)
910,Female,45-49,Some college or technical school,"$35,000 to <$50,000",White only (non-Hispanic)
911,Male,40-44,High school graduate,"$25,000 to <$35,000",Black only (non-Hispanic)
912,Female,65-69,Some college or technical school,"$25,000 to <$35,000",Other race (non-Hispanic)
913,Male,40-44,High school graduate,,
914,Female,65-69,Some high school,"$10,000 to <$15,000",White only (non-Hispanic)
915,Male,45-49,High school graduate,"$25,000 to <$35,000",Black only (non-Hispanic)
916,Male,50-54,College graduate or higher,"$35,000 to <$50,000",Asian (non-Hispanic)
917,Female,55-59,High school graduate,"$200,000 or more",White only (non-Hispanic)
918,Female,40-44,High school graduate,"$35,000 to <$50,000",Black only (non-Hispanic)
919,Male,40-44,Some high school,,Black only (non-Hispanic)
920,Female,30-34,Some college or technical school,"$50,000 to <$75,000",White only (non-Hispanic)
921,Female,60-64,Some high school,"$25,000 to <$35,000",Black only (non-Hispanic)
922,Male,25-29,College graduate or higher,"$35,000 to <$50,000",Hispanic
923,Male,50-54,High school graduate,"$35,000 to <$50,000",Hispanic
924,Male,30-34,College graduate or higher,"$35,000 to <$50,000",Black only (non-Hispanic)
925,Female,40-44,College graduate or higher,"$75,000 to < $100,000",Black only (non-Hispanic)
926,Female,25-29,College graduate or higher,"$50,000 to <$75,000",White only (non-Hispanic)
927,Male,25-29,Some high school,"$200,000 or more",White only (non-Hispanic)
928,Male,60-64,High school graduate,"$20,000 to <$25,000",Multiracial (non-Hispanic)
929,Female,50-54,College graduate or higher,"$50,000 to <$75,000",Black only (non-Hispanic)
930,Female,18-24,Some college or technical school,"$100,000 to < $150,000",Black only (non-Hispanic)
931,Female,18-24,Some college or technical school,,Black only (non-Hispanic)
932,Male,18-24,Some high school,"$150,000 to < $200,000",White only (non-Hispanic)
933,Male,40-44,College graduate or higher,"$200,000 or more",White only (non-Hispanic)
934,Female,40-44,Some college or technical school,"$35,000 to <$50,000",Black only (non-Hispanic)
935,Female,70-74,College graduate or higher,"$200,000 or more",White only (non-Hispanic)
936,Female,30-34,College graduate or higher,"$100,000 to < $150,000",Black only (non-Hispanic)
937,Female,18-24,College graduate or higher,"$20,000 to <$25,000",Black only (non-Hispanic)
938,Female,30-34,College graduate or higher,"$150,000 to < $200,000",White only (non-Hispanic)
939,Female,40-44,Some college or technical school,"$25,000 to <$35,000",White only (non-Hispanic)
940,Female,50-54,College graduate or higher,"$50,000 to <$75,000",White only (non-Hispanic)
941,Female,45-49,College graduate or higher,"$15,000 to <$20,000",White only (non-Hispanic)
942,Male,70-74,Some high school,"$25,000 to <$35,000",Black only (non-Hispanic)
943,Female,35-39,Some college or technical school,"Less than $10,000",Black only (non-Hispanic)
944,Female,35-39,Some college or technical school,"$35,000 to <$50,000",Black only (non-Hispanic)
945,Female,60-64,Some college or technical school,"$75,000 to < $100,000",Multiracial (non-Hispanic)
946,Female,,High school graduate,"$75,000 to < $100,000",White only (non-Hispanic)
947,Male,65-69,College graduate or higher,"$25,000 to <$35,000",White only (non-Hispanic)
948,Female,45-49,High school graduate,"$35,000 to <$50,000",Hispanic
949,Male,65-69,High school graduate,"$10,000 to <$15,000",Black only (non-Hispanic)
950,Male,60-64,College graduate or higher,"$75,000 to < $100,000",Black only (non-Hispanic)
951,Male,70-74,Some high school,,White only (non-Hispanic)
952,Female,60-64,College graduate or higher,"$35,000 to <$50,000",Black only (non-Hispanic)
953,Male,35-39,Some college or technical school,"$25,000 to <$35,000",Black only (non-Hispanic)
954,Male,40-44,College graduate or higher,"$50,000 to <$75,000",White only (non-Hispanic)
955,Female,30-34,College graduate or higher,"$75,000 to < $100,000",Black only (non-Hispanic)
956,Female,40-44,College graduate or higher,"$75,000 to < $100,000",Asian (non-Hispanic)
957,Male,55-59,High school graduate,"$50,000 to <$75,000",American Indian/Alaska Native (non-Hispanic)
958,Female,65-69,High school graduate,"Less than $10,000",White only (non-Hispanic)
959,Female,55-59,College graduate or higher,"$20,000 to <$25,000",Black only (non-Hispanic)
960,Female,70-74,Some college or technical school,,Multiracial (non-Hispanic)
961,Female,,High school graduate,"$35,000 to <$50,000",White only (non-Hispanic)
962,Female,25-29,College graduate or higher,"$50,000 to <$75,000",Black only (non-Hispanic)
963,Male,45-49,College graduate or higher,"$50,000 to <$75,000",Black only (non-Hispanic)
964,Female,25-29,College graduate or higher,"$100,000 to < $150,000",White only (non-Hispanic)
965,Male,75-79,High school graduate,"$25,000 to <$35,000",Black only (non-Hispanic)
966,Female,50-54,Some college or technical school,"$15,000 to <$20,000",Black only (non-Hispanic)
967,Male,60-64,Some college or technical school,,White only (non-Hispanic)
968,Female,25-29,Some college or technical school,"$25,000 to <$35,000",White only (non-Hispanic)
969,Female,30-34,College graduate or higher,"$20,000 to <$25,000",White only (non-Hispanic)
970,Male,35-39,Some college or technical school,"$100,000 to < $150,000",White only (non-Hispanic)
971,Female,50-54,College graduate or higher,"$100,000 to < $150,000",Black only (non-Hispanic)
972,Male,30-34,High school graduate,"$75,000 to < $100,000",White only (non-Hispanic)
973,Female,75-79,Some college or technical school,"$15,000 to <$20,000",Black only (non-Hispanic)
974,Female,18-24,College graduate or higher,"$25,000 to <$35,000",White only (non-Hispanic)
975,Female,40-44,High school graduate,"$20,000 to <$25,000",Black only (non-Hispanic)
976,Female,45-49,College graduate or higher,"$50,000 to <$75,000",Black only (non-Hispanic)
977,Male,25-29,College graduate or higher,"$100,000 to < $150,000",White only (non-Hispanic)
978,Male,50-54,College graduate or higher,"$75,000 to < $100,000",Black only (non-Hispanic)
979,Male,55-59,High school graduate,"$15,000 to <$20,000",White only (non-Hispanic)
980,Female,50-54,High school graduate,"$25,000 to <$35,000",Black only (non-Hispanic)
981,Female,70-74,Some college or technical school,"$20,000 to <$25,000",Multiracial (non-Hispanic)
982,Female,55-59,College graduate or higher,"$10,000 to <$15,000",White only (non-Hispanic)
983,Female,35-39,Some college or technical school,"Less than $10,000",White only (non-Hispanic)
984,Male,40-44,Some college or technical school,"$100,000 to < $150,000",Asian (non-Hispanic)
985,Male,65-69,Some high school,"$25,000 to <$35,000",White only (non-Hispanic)
986,Male,55-59,High school graduate,"$50,000 to <$75,000",Black only (non-Hispanic)
987,Male,45-49,Some college or technical school,"$150,000 to < $200,000",White only (non-Hispanic)
988,Female,25-29,High school graduate,"$75,000 to < $100,000",White only (non-Hispanic)
989,Male,60-64,Some high school,,White only (non-Hispanic)
990,Female,75-79,Some high school,"$15,000 to <$20,000",Black only (non-Hispanic)
991,Male,40-44,Some college or technical school,"$35,000 to <$50,000",Other race (non-Hispanic)
992,Female,30-34,Some college or technical school,,White only (non-Hispanic)
993,Male,60-64,Some high school,"$35,000 to <$50,000",White only (non-Hispanic)
994,Female,35-39,Some college or technical school,"$15,000 to <$20,000",Black only (non-Hispanic)
995,Female,18-24,High school graduate,"Less than $10,000",Black only (non-Hispanic)
996,Male,25-29,College graduate or higher,"$100,000 to < $150,000",American Indian/Alaska Native (non-Hispanic)
997,Male,30-34,Some college or technical school,"$35,000 to <$50,000",White only (non-Hispanic)
998,Male,50-54,High school graduate,"$75,000 to < $100,000",Black only (non-Hispanic)
999,Male,50-54,High school graduate,"$15,000 to <$20,000",Black only (non-Hispanic)
1000,Female,35-39,College graduate or higher,"$25,000 to <$35,000",White only (non-Hispanic)
1001,Female,55-59,College graduate or higher,,American Indian/Alaska Native (non-Hispanic)
1002,Female,55-59,College graduate or higher,"$25,000 to <$35,000",Asian (non-Hispanic)
1003,Female,18-24,High school graduate,,Black only (non-Hispanic)
1004,Male,65-69,Some high school,,Black only (non-Hispanic)
1005,Female,18-24,High school graduate,"$25,000 to <$35,000",Hispanic
1006,Male,18-24,Refused,"$75,000 to < $100,000",Asian (non-Hispanic)
1007,Male,40-44,High school graduate,"$50,000 to <$75,000",White only (non-Hispanic)
1008,Female,50-54,High school graduate,"$100,000 to < $150,000",White only (non-Hispanic)
1009,Female,50-54,High school graduate,"$35,000 to <$50,000",Asian (non-Hispanic)
1010,Female,80+,College graduate or higher,"$20,000 to <$25,000",Multiracial (non-Hispanic)
1011,Female,25-29,College graduate or higher,"$10,000 to <$15,000",Black only (non-Hispanic)
1012,Male,40-44,Some college or technical school,"$100,000 to < $150,000",White only (non-Hispanic)
1013,Female,60-64,High school graduate,,Multiracial (non-Hispanic)
1014,Male,65-69,Some college or technical school,"$20,000 to <$25,000",Multiracial (non-Hispanic)
1015,Female,45-49,College graduate or higher,"$35,000 to <$50,000",White only (non-Hispanic)
1016,Female,25-29,High school graduate,"$20,000 to <$25,000",White only (non-Hispanic)
1017,Male,30-34,Some college or technical school,"$100,000 to < $150,000",White only (non-Hispanic)
1018,Female,65-69,High school graduate,"$20,000 to <$25,000",White only (non-Hispanic)
1019,Female,30-34,Some college or technical school,"Less than $10,000",Hispanic
1020,Male,25-29,High school graduate,"$25,000 to <$35,000",White only (non-Hispanic)
1021,Male,65-69,Some college or technical school,"$25,000 to <$35,000",White only (non-Hispanic)
1022,Male,55-59,College graduate or higher,"$75,000 to < $100,000",White only (non-Hispanic)
1023,Male,45-49,College graduate or higher,"$75,000 to < $100,000",Black only (non-Hispanic)
1024,Male,70-74,Elementary,,White only (non-Hispanic)
1025,Female,35-39,Some high school,"$35,000 to <$50,000",White only (non-Hispanic)
1026,Female,40-44,College graduate or higher,,Black only (non-Hispanic)
1027,Male,60-64,High school graduate,"$15,000 to <$20,000",Black only (non-Hispanic)
1028,Female,30-34,Some college or technical school,"$25,000 to <$35,000",Black only (non-Hispanic)
1029,Female,45-49,High school graduate,,Black only (non-Hispanic)
1030,Male,30-34,High school graduate,"$35,000 to <$50,000",Hispanic
1031,Female,30-34,College graduate or higher,"$50,000 to <$75,000",Multiracial (non-Hispanic)
1032,Female,35-39,High school graduate,"$25,000 to <$35,000",Black only (non-Hispanic)
1033,Female,45-49,Some college or technical school,"$50,000 to <$75,000",American Indian/Alaska Native (non-Hispanic)
1034,Male,18-24,Some college or technical school,"$50,000 to <$75,000",White only (non-Hispanic)
1035,Female,55-59,High school graduate,"$20,000 to <$25,000",White only (non-Hispanic)
1036,Female,30-34,Some college or technical school,"$100,000 to < $150,000",White only (non-Hispanic)
1037,Male,70-74,High school graduate,"$75,000 to < $100,000",Black only (non-Hispanic)
1038,Male,60-64,College graduate or higher,"$100,000 to < $150,000",White only (non-Hispanic)
1039,Female,35-39,Some high school,,White only (non-Hispanic)
1040,Female,45-49,Some college or technical school,"Less than $10,000",White only (non-Hispanic)
1041,Female,30-34,Some college or technical school,"$25,000 to <$35,000",White only (non-Hispanic)
1042,Male,65-69,Some college or technical school,"$100,000 to < $150,000",White only (non-Hispanic)
1043,Female,,High school graduate,,White only (non-Hispanic)
1044,Female,50-54,High school graduate,"$50,000 to <$75,000",White only (non-Hispanic)
1045,Male,80+,Some high school,"$20,000 to <$25,000",White only (non-Hispanic)
1046,Male,40-44,Elementary,"$15,000 to <$20,000",Black only (non-Hispanic)
1047,Female,35-39,Some college or technical school,"$25,000 to <$35,000",Native Hawaiian or other Pacific Islander only (non-Hispanic)
1048,Male,70-74,High school graduate,"$15,000 to <$20,000",Black only (non-Hispanic)
1049,Female,25-29,High school graduate,"$25,000 to <$35,000",White only (non-Hispanic)
1050,Male,25-29,Some high school,,White only (non-Hispanic)
1051,Male,40-44,Some high school,"$25,000 to <$35,000",White only (non-Hispanic)
1052,Female,18-24,Some college or technical school,"$50,000 to <$75,000",White only (non-Hispanic)
1053,Male,50-54,Some high school,"Less than $10,000",Black only (non-Hispanic)
1054,Male,45-49,College graduate or higher,"$100,000 to < $150,000",Black only (non-Hispanic)
1055,Female,60-64,Some college or technical school,,
1056,Female,40-44,College graduate or higher,"$200,000 or more",Asian (non-Hispanic)
1057,Male,25-29,Some college or technical school,"$75,000 to < $100,000",Multiracial (non-Hispanic)
1058,Male,70-74,Refused,,White only (non-Hispanic)
1059,Female,35-39,High school graduate,"$100,000 to < $150,000",White only (non-Hispanic)
1060,Male,60-64,Some college or technical school,"$50,000 to <$75,000",Multiracial (non-Hispanic)
1061,Female,25-29,High school graduate,"$35,000 to <$50,000",Black only (non-Hispanic)
1062,Female,18-24,Some college or technical school,"$35,000 to <$50,000",White only (non-Hispanic)
1063,Female,25-29,College graduate or higher,"$75,000 to < $100,000",Black only (non-Hispanic)
1064,Female,75-79,College graduate or higher,"$150,000 to < $200,000",Black only (non-Hispanic)
1065,Female,30-34,Some high school,"$100,000 to < $150,000",Hispanic
1066,Male,60-64,Some college or technical school,"$15,000 to <$20,000",White only (non-Hispanic)
1067,Female,45-49,Some college or technical school,"$35,000 to <$50,000",Black only (non-Hispanic)
1068,Male,55-59,College graduate or higher,,White only (non-Hispanic)
1069,Female,65-69,College graduate or higher,"$150,000 to < $200,000",Black only (non-Hispanic)
1070,Female,50-54,Some college or technical school,"$50,000 to <$75,000",Black only (non-Hispanic)
1071,Female,35-39,Some college or technical school,"$50,000 to <$75,000",Black only (non-Hispanic)
1072,Female,45-49,Some college or technical school,"$150,000 to < $200,000",White only (non-Hispanic)
1073,Female,40-44,Some college or technical school,"$75,000 to < $100,000",Hispanic
1074,Female,45-49,Some college or technical school,"$50,000 to <$75,000",White only (non-Hispanic)
1075,Male,60-64,High school graduate,"$10,000 to <$15,000",Black only (non-Hispanic)
1076,Female,60-64,College graduate or higher,"$150,000 to < $200,000",Black only (non-Hispanic)
